code,name,score,net_income_positive,roa_increasing,roa_current,roa_previous,debt_ratio_decreasing,debt_ratio_current,debt_ratio_previous,shares_not_increasing,shares_current,shares_previous,operating_margin_increasing,operating_margin_current,operating_margin_previous,asset_turnover_increasing,asset_turnover_current,asset_turnover_previous
327260,RF머트리얼즈,6,True,True,4.17,-6.7,True,33.45,38.5,True,8433.0,8433.0,True,8.09,-3.37,True,0.53,0.39
472850,폰드그룹,6,True,True,6.43,0.06,True,43.77,44.73,True,32344.0,32344.0,True,11.85,11.2,True,1.24,1.09
233990,질경이,6,True,True,9.76,-3.85,True,64.63,71.79,True,14765.0,14765.0,True,11.0,-1.35,True,1.22,0.95
234690,녹십자웰빙,6,True,True,8.79,4.53,True,35.05,35.89,True,17752.0,17752.0,True,12.26,9.72,True,1.03,0.85
297090,씨에스베어링,6,True,True,5.8,1.69,True,35.03,36.62,True,27270.0,27270.0,True,9.22,1.99,True,0.84,0.71
322000,HD현대에너지솔루션,6,True,True,6.33,0.02,True,18.16,18.53,True,11200.0,11200.0,True,7.49,0.83,True,1.01,0.93
207940,삼성바이오로직스,6,True,True,8.64,6.25,True,35.54,37.1,True,71174.0,71174.0,True,36.89,29.03,True,0.3,0.26
117580,대성에너지,6,True,True,2.17,1.86,True,58.75,60.21,True,27500.0,27500.0,True,2.06,2.04,True,1.25,1.24
101140,인바이오젠,6,True,True,9.9,7.76,True,1.78,1.78,True,10044.0,10044.0,True,-87.14,-100.0,True,0.04,0.04
286940,롯데이노베이트,6,True,True,1.77,0.76,True,51.65,52.68,True,15129.0,15396.0,True,2.85,2.18,True,1.3,1.24
103230,에스앤더블류,6,True,True,6.73,5.24,True,30.15,31.89,True,7200.0,7200.0,True,7.43,7.34,True,0.66,0.65
339770,교촌에프앤비,6,True,True,7.07,0.23,True,46.18,47.91,True,49965.0,49965.0,True,8.28,3.2,True,1.41,1.4
107590,미원홀딩스,6,True,True,5.91,3.64,True,39.79,42.27,True,2320.0,2320.0,True,4.83,3.52,True,0.96,0.95
104460,디와이피엔에프,6,True,True,5.67,1.96,True,60.04,61.55,True,10714.0,10714.0,True,8.75,5.76,True,0.88,0.49
178920,PI첨단소재,6,True,True,4.44,-0.35,True,35.94,39.2,True,29366.0,29366.0,True,13.89,-1.79,True,0.48,0.42
111770,영원무역,6,True,True,5.61,5.46,True,27.21,27.72,True,44311.0,44311.0,True,10.31,8.97,True,0.68,0.65
322310,오로스테크놀로지,6,True,True,7.37,6.25,True,22.11,27.75,True,9367.0,9367.0,True,10.45,9.93,True,0.71,0.65
123860,아나패스,6,True,True,16.07,2.41,True,38.18,51.92,True,12123.0,12123.0,True,10.98,6.29,True,1.55,0.64
102710,이엔에프테크놀로지,6,True,True,7.91,4.1,True,38.25,44.53,True,14288.0,14288.0,True,13.55,10.18,True,0.91,0.8
237820,플레이디,6,True,True,3.19,2.14,True,36.38,40.0,True,12827.0,12827.0,True,10.36,6.7,True,0.29,0.28
109070,주성코퍼레이션,6,True,True,12.57,-4.11,True,26.78,34.9,True,52810.0,52810.0,True,5.52,-5.44,True,1.88,0.7
101680,한국정밀기계,6,True,True,2.07,-8.83,True,42.34,53.91,True,8404.0,8404.0,True,3.3,-16.02,True,0.88,0.49
258610,케일럼,6,True,True,6.34,-61.67,True,48.16,71.36,True,26787.0,26787.0,True,3.29,-5.21,True,1.12,0.95
251270,넷마블,6,True,True,4.14,0.04,True,30.65,33.06,True,85954.0,85954.0,True,11.87,8.09,True,0.34,0.33
263810,상신전자,6,True,True,2.78,2.47,True,45.94,51.18,True,14245.0,14245.0,True,1.68,1.37,True,1.45,1.23
302550,리메드,6,True,True,12.52,0.54,True,31.81,44.1,True,30638.0,30638.0,True,4.3,-15.68,True,0.43,0.34
307950,현대오토에버,6,True,True,5.5,5.23,True,46.58,48.34,True,27424.0,27424.0,True,6.11,6.04,True,1.18,1.11
115570,스타플렉스,6,True,True,4.88,-15.82,True,31.02,31.97,True,7985.0,7985.0,True,-0.25,-4.81,True,0.83,0.76
332290,누보,6,True,True,3.81,-7.22,True,66.84,72.08,True,33385.0,33385.0,True,3.74,-2.8,True,1.26,0.99
252500,세화피앤씨,6,True,True,7.25,6.47,True,9.23,9.24,True,41486.0,41486.0,True,6.15,4.85,True,0.96,0.95
229640,LS에코에너지,6,True,True,9.49,7.22,True,55.45,59.69,True,30625.0,30625.0,True,6.96,5.16,True,1.82,1.78
114090,GKL,6,True,True,9.18,5.37,True,30.56,32.9,True,61856.0,61856.0,True,15.8,9.66,True,0.68,0.64
298040,효성중공업,6,True,True,6.25,3.58,True,64.54,66.95,True,9325.0,9325.0,True,10.52,7.41,True,0.83,0.79
192820,코스맥스,6,True,True,5.02,4.57,True,72.65,73.69,True,11350.0,11350.0,True,9.2,8.1,True,1.14,1.12
180060,탑선,6,True,True,2.14,-2.93,True,75.62,78.27,True,9348.0,9348.0,True,4.55,1.56,True,0.32,0.26
251970,펌텍코리아,6,True,True,10.75,9.4,True,21.05,21.32,True,12400.0,12400.0,True,16.04,14.34,True,0.87,0.83
101490,에스앤에스텍,6,True,True,12.9,10.2,True,16.86,16.9,True,21451.0,21451.0,True,19.98,16.76,True,0.72,0.59
171120,라이온켐텍,6,True,True,5.76,4.15,True,14.0,24.39,True,35902.0,35902.0,True,6.63,5.96,True,0.93,0.76
329180,HD현대중공업,6,True,True,6.18,3.21,True,68.05,70.58,True,88773.0,88773.0,True,11.99,4.87,True,0.78,0.75
217190,제너셈,6,True,True,7.06,4.63,True,42.25,45.5,True,8769.0,8769.0,True,9.46,6.37,True,0.8,0.73
136410,아셈스,6,True,True,9.46,6.05,True,37.45,39.19,True,11019.0,11019.0,True,21.53,16.08,True,0.66,0.57
153490,우리이앤엘,6,True,True,4.56,4.48,True,25.46,32.17,True,51480.0,51480.0,True,4.7,3.52,True,1.22,1.18
381970,케이카,6,True,True,8.38,5.13,True,56.99,57.61,True,48182.0,48182.0,True,2.96,2.88,True,4.39,3.7
204320,HL만도,6,True,True,2.42,2.24,True,61.99,62.1,True,46957.0,46957.0,True,4.11,4.06,True,1.32,1.25
204610,티쓰리,6,True,True,10.28,-0.73,True,15.25,17.18,True,63922.0,67290.0,True,17.71,14.9,True,0.48,0.41
446540,메가터치,6,True,True,7.68,-0.15,True,15.21,24.89,True,20771.0,20771.0,True,7.55,-0.6,True,0.81,0.75
131760,파인텍,6,True,True,3.38,-10.95,True,54.62,56.47,True,43432.0,43432.0,True,2.68,-9.38,True,0.89,0.64
214420,토니모리,6,True,True,7.87,1.48,True,44.54,50.0,True,24055.0,24055.0,True,6.84,6.35,True,0.84,0.75
230240,에치에프알,6,True,True,7.54,-6.82,True,36.7,41.42,True,13309.0,13489.0,True,8.75,-12.86,True,0.66,0.58
131180,딜리,6,True,True,6.7,1.05,True,11.87,13.1,True,29350.0,29350.0,True,6.02,-3.5,True,0.53,0.39
318160,셀바이오휴먼텍,6,True,True,8.32,-3.57,True,12.29,16.17,True,9261.0,9261.0,True,14.08,11.36,True,0.54,0.51
296520,가이아코퍼레이션,6,True,True,5.06,-17.33,True,56.33,60.0,True,4667.0,4667.0,True,4.15,-7.3,True,2.44,2.1
109080,옵티시스,6,True,True,7.81,3.96,True,7.48,9.64,True,5636.0,5636.0,True,11.34,3.64,True,0.4,0.38
119830,아이텍,6,True,True,8.71,-4.76,True,26.66,33.18,True,21434.0,21434.0,True,-7.9,-13.98,True,0.27,0.24
333620,엔시스,6,True,True,10.18,2.28,True,35.03,40.27,True,10556.0,10556.0,True,16.69,3.71,True,0.64,0.53
376290,씨유테크,6,True,True,9.69,0.62,True,16.38,30.35,True,17658.0,17658.0,True,4.05,1.27,True,2.02,1.2
139480,이마트,6,True,True,0.5,-1.69,True,60.84,61.14,True,27876.0,27876.0,True,1.57,0.16,True,0.86,0.86
136490,선진,6,True,True,11.44,0.52,True,63.92,64.78,True,23780.0,23780.0,True,9.42,7.38,True,1.41,1.34
113810,디젠스,6,True,True,7.54,4.94,True,62.81,70.84,True,32628.0,32628.0,True,6.15,4.31,True,1.5,1.42
259630,엠플러스,6,True,True,6.84,3.76,True,65.65,71.11,True,12282.0,12282.0,True,13.63,7.85,True,0.56,0.44
303030,지니틱스,6,True,True,2.54,-20.7,True,38.77,43.16,True,35746.0,35746.0,True,0.55,-18.13,True,1.96,1.16
168360,펨트론,6,True,True,2.93,-2.65,True,60.4,60.81,True,21288.0,21288.0,True,3.99,-6.32,True,0.94,0.79
353810,이지바이오,6,True,True,7.7,5.53,True,70.6,75.33,True,34192.0,34192.0,True,8.8,8.43,True,1.47,1.07
347000,센코,6,True,True,3.73,-1.72,True,36.57,39.66,True,33005.0,33005.0,True,7.52,6.47,True,0.54,0.49
114810,한솔아이원스,6,True,True,13.46,13.41,True,16.54,21.43,True,29113.0,29352.0,True,21.03,14.7,True,0.75,0.68
356890,싸이버원,6,True,True,22.2,5.39,True,12.97,13.26,True,11916.0,11916.0,True,23.59,5.26,True,0.85,0.56
195940,HK이노엔,6,True,True,3.26,2.55,True,33.77,34.86,True,28330.0,28330.0,True,9.83,7.95,True,0.47,0.45
357580,아모센스,6,True,True,1.37,-1.26,True,66.56,67.18,True,11220.0,11220.0,True,5.37,0.91,True,1.08,0.79
254120,자비스,6,True,True,3.05,-8.7,True,26.72,40.22,True,30754.0,30754.0,True,3.19,2.79,True,0.96,0.62
119850,지엔씨에너지,6,True,True,16.78,14.67,True,31.27,39.14,True,16449.0,16449.0,True,20.93,14.01,True,0.92,0.85
226320,잇츠한불,6,True,True,5.76,3.49,True,5.54,6.4,True,21929.0,21929.0,True,12.57,8.27,True,0.28,0.27
256630,포인트엔지니어링,6,True,True,1.43,-6.63,True,26.05,27.65,True,57997.0,57997.0,True,-4.19,-34.35,True,0.32,0.27
417790,트루엔,6,True,True,13.65,11.52,True,6.07,6.28,True,11000.0,11000.0,True,28.92,24.15,True,0.51,0.49
198080,캐프,6,True,True,8.6,1.64,True,47.82,53.74,True,21535.0,21535.0,True,6.35,2.5,True,1.42,1.17
298830,슈어소프트테크,5,True,True,6.22,3.67,True,34.67,39.34,True,52619.0,52619.0,False,8.9,18.17,True,0.55,0.4
187220,디티앤씨,5,True,True,1.18,-11.78,False,54.2,51.05,True,11698.0,11698.0,True,-5.09,-21.41,True,0.46,0.44
413640,비아이매트릭스,5,True,True,7.6,-4.34,False,36.96,33.98,True,7207.0,7207.0,True,6.47,-10.42,True,0.63,0.62
267850,아시아나IDT,5,True,True,5.37,4.94,True,23.28,26.0,True,11100.0,11100.0,False,4.74,4.83,True,0.88,0.85
417970,모델솔루션,5,True,True,5.86,2.94,True,26.11,27.73,True,6397.0,6397.0,True,6.18,3.4,False,0.75,0.76
234340,헥토파이낸셜,5,True,True,2.66,1.99,False,69.63,66.47,True,13971.0,13971.0,True,8.73,8.35,True,0.37,0.35
306620,네온테크,5,True,True,0.21,-2.07,True,58.32,66.46,False,43089.0,41714.0,True,3.44,2.53,True,0.73,0.53
175250,아이큐어,5,False,True,0.0,-19.45,True,54.33,64.12,True,37558.0,37558.0,True,-24.86,-39.96,True,0.52,0.34
153460,네이블,5,True,True,3.61,-4.09,False,9.44,8.48,True,6530.0,6530.0,True,2.33,-15.67,True,0.48,0.39
205100,엑셈,5,True,False,7.28,7.33,True,9.82,10.58,True,71963.0,71963.0,True,14.98,14.38,True,0.43,0.42
181710,NHN,5,True,True,1.56,-6.03,True,44.07,44.71,True,33766.0,34937.0,True,4.34,-1.33,False,0.76,0.77
473980,노머스,5,True,True,15.64,10.02,True,11.94,12.85,False,10792.0,9300.0,True,24.74,11.9,True,0.73,0.7
199150,데이터스트림즈,5,True,True,3.64,-37.4,True,89.7,116.79,True,4269.0,4269.0,True,2.26,-19.22,False,1.61,1.95
211270,AP위성,5,True,True,7.69,7.26,True,22.12,34.23,True,15082.0,15082.0,False,12.46,20.45,True,0.43,0.34
900110,이스트아시아홀딩스,5,True,True,1.51,1.07,True,5.5,6.2,False,21706.0,17277.0,True,10.93,9.12,True,0.22,0.21
123690,한국화장품,5,True,True,8.29,7.2,True,47.5,47.94,True,16068.0,16068.0,True,3.99,3.94,False,1.6,1.62
326030,SK바이오팜,5,True,False,12.12,21.89,True,39.61,44.64,True,78313.0,78313.0,True,24.95,17.59,True,0.58,0.53
365550,ESR켄달스퀘어리츠,5,True,True,0.39,0.14,False,57.44,57.04,True,215195.0,215195.0,True,48.89,46.75,True,0.02,0.02
137310,에스디바이오센서,5,False,True,-2.52,-12.35,True,24.59,25.27,True,124477.0,124477.0,True,-7.79,-37.84,True,0.18,0.17
244920,에이플러스에셋,5,True,False,2.11,3.14,True,49.13,49.16,True,22608.0,22608.0,True,6.13,3.59,True,1.08,0.94
128940,한미약품,5,True,True,8.01,6.95,True,35.51,38.6,True,12811.0,12811.0,True,15.59,14.46,False,0.71,0.74
161580,필옵틱스,5,True,True,3.37,-1.8,True,37.65,48.57,True,22850.0,23292.0,False,3.36,3.43,True,1.07,0.67
277810,레인보우로보틱스,5,True,True,2.94,1.5,False,18.82,5.08,True,19400.0,19400.0,True,13.79,-15.54,True,0.17,0.14
352940,인바이오,5,True,True,0.88,-9.5,False,38.94,38.61,True,10868.0,10868.0,True,3.92,-10.0,True,0.53,0.51
357250,미래에셋맵스리츠,5,True,True,0.56,0.5,False,67.36,66.68,True,24995.0,24995.0,True,67.14,57.97,True,0.02,0.02
368770,파이버프로,5,True,True,14.43,7.13,False,22.65,21.38,True,32854.0,32854.0,True,21.88,13.4,True,0.66,0.48
130500,GH신소재,5,True,True,3.23,1.5,True,48.75,50.92,True,14545.0,14545.0,True,9.2,5.43,False,0.44,0.46
201490,미투온,5,True,True,2.95,1.37,True,16.81,17.59,True,30390.0,31258.0,False,9.45,12.51,True,0.37,0.32
100840,SNT에너지,5,True,True,9.08,6.7,False,42.86,40.71,True,20681.0,20681.0,True,15.24,7.54,True,0.84,0.57
443250,레뷰코퍼레이션,5,True,True,9.1,7.8,True,39.89,43.85,False,11110.0,11105.0,True,16.75,15.34,True,0.66,0.58
300080,플리토,5,True,True,22.27,4.85,True,26.07,33.33,False,16505.0,15701.0,True,13.41,-1.97,True,1.24,1.23
353200,대덕전자,5,True,True,2.89,2.19,False,23.03,19.58,True,49417.0,49417.0,True,3.15,1.27,True,0.88,0.82
214450,파마리서치,5,True,True,17.23,10.39,True,30.21,33.46,False,10510.0,10320.0,True,40.6,36.02,True,0.53,0.41
222160,NPX,5,False,True,-13.45,-27.44,True,8.07,11.65,True,9894.0,9894.0,True,-38.55,-181.08,True,0.37,0.14
425420,티에프이,5,True,True,9.67,1.18,False,38.95,38.12,True,11381.0,11381.0,True,16.71,5.98,True,0.7,0.58
222420,쎄노텍,5,False,True,-2.86,-5.56,True,60.48,61.69,True,45460.0,45460.0,True,3.17,-3.54,True,0.36,0.32
451800,한화리츠,5,True,True,0.69,0.18,True,54.4,79.27,False,179600.0,72160.0,True,61.19,57.01,True,0.03,0.02
434190,탈로스,5,True,True,3.08,-1.55,False,30.4,22.68,True,7369.0,7369.0,True,5.65,-3.96,True,0.55,0.52
108380,대양전기공업,5,True,True,6.52,6.35,False,21.04,20.51,True,9567.0,9567.0,True,10.29,8.0,True,0.69,0.64
222110,팬젠,5,True,True,2.95,-21.74,True,18.36,39.61,False,12898.0,10678.0,True,6.8,-57.53,True,0.48,0.35
375500,DL이앤씨,5,True,True,2.49,2.36,True,48.09,50.11,True,38694.0,38694.0,True,5.95,3.26,False,0.78,0.86
192650,드림텍,5,True,True,2.46,1.4,True,43.24,43.28,False,68890.0,68723.0,True,3.63,2.01,True,1.48,1.29
446070,유니드비티플러스,5,True,True,2.72,0.41,False,17.28,12.73,True,10611.0,10611.0,True,1.59,-2.43,True,0.83,0.77
189860,서전기전,5,True,True,1.74,-6.78,False,50.47,44.32,True,9699.0,9699.0,True,0.95,-8.08,True,1.0,0.79
226400,오스테오닉,5,True,True,6.43,6.34,False,38.22,34.04,True,20662.0,20662.0,True,23.19,20.18,True,0.43,0.38
222980,한국맥널티,5,False,True,-0.49,-5.09,True,53.01,55.62,True,11031.0,11031.0,True,0.68,-5.36,True,1.09,0.93
377740,바이오노트,5,True,True,3.26,-1.29,False,3.62,2.28,True,102056.0,102056.0,True,11.87,-52.16,True,0.06,0.06
317850,대모,5,True,True,0.16,-0.32,True,24.39,26.62,True,8324.0,8324.0,True,0.24,-0.9,False,0.67,0.7
219130,타이거일렉,5,True,True,0.39,-3.65,False,31.26,25.7,True,6314.0,6314.0,True,-3.07,-6.38,True,0.8,0.68
448730,삼성FN리츠,5,True,True,0.4,0.3,False,52.76,52.54,True,91050.0,91050.0,True,69.49,67.83,True,0.01,0.01
240810,원익IPS,5,True,True,5.53,1.84,False,24.14,21.06,True,49084.0,49084.0,True,9.63,1.42,True,0.74,0.67
