code,name,score,net_income_positive,roa_increasing,roa_current,roa_previous,debt_ratio_decreasing,debt_ratio_current,debt_ratio_previous,shares_not_increasing,shares_current,shares_previous,operating_margin_increasing,operating_margin_current,operating_margin_previous,asset_turnover_increasing,asset_turnover_current,asset_turnover_previous,operating_cf_positive,operating_cf,accrual,net_income,current_ratio_increasing,current_ratio_current,current_ratio_previous,lite_score,additional_score
402340,SK스퀘어,8,True,True,22.0,16.65,True,8.65,10.65,True,134750.0,138981.0,True,158.43,63.74,False,0.15,0.28,True,265749000000.0,True,-1314834000000.0,True,1.66,1.57,5,3
008500,일정실업,8,True,True,10.27,-7.42,True,81.57,90.32,True,1200.0,1200.0,True,7.59,-2.17,True,1.31,1.04,True,95944279.0,,,True,0.54,0.49,6,2
198080,캐프,8,True,True,8.6,1.64,True,47.82,53.74,True,21535.0,21535.0,True,6.35,2.5,True,1.42,1.17,True,8890197611.0,,,True,1.37,1.31,6,2
035890,서희건설,8,True,True,10.34,8.23,True,36.79,45.18,True,229808.0,229808.0,True,15.99,15.83,True,0.96,0.94,True,80678660787.0,,,True,1.68,1.44,6,2
018500,동원금속,8,True,True,4.11,3.82,True,74.23,77.76,True,46755.0,46755.0,True,6.71,6.28,True,1.21,1.19,True,59870151181.0,,,True,0.61,0.52,6,2
037460,삼지전자,7,True,True,7.83,5.05,False,46.73,46.18,True,16319.0,16319.0,True,3.44,3.1,True,2.8,2.49,True,184508891719.0,,,True,1.72,1.63,5,2
049520,유아이엘,7,True,True,10.61,4.96,True,29.34,29.95,True,32247.0,32247.0,True,4.97,2.56,True,1.51,1.46,True,22109645010.0,,,False,2.41,2.56,6,1
123410,코리아에프티,7,True,True,8.54,7.59,True,49.13,52.75,True,27841.0,27841.0,True,6.23,5.1,False,1.53,1.58,True,50177090351.0,,,True,1.26,1.11,5,2
015760,한국전력,7,True,True,3.24,1.47,True,80.75,83.24,True,641964.0,641964.0,True,14.34,8.96,True,0.38,0.38,True,1522162000000.0,,,False,0.48,0.67,6,1
069510,에스텍,7,True,True,11.93,8.1,False,47.55,41.82,True,10910.0,10910.0,True,8.64,5.93,False,1.31,1.55,True,47729012868.0,True,21659965015.0,True,2.06,1.86,4,3
071200,인피니트헬스케어,7,True,True,19.19,11.15,True,22.2,23.38,True,24396.0,24396.0,True,13.68,7.46,False,0.44,0.51,True,10222624175.0,,,True,4.24,3.91,5,2
356890,싸이버원,7,True,True,22.2,5.39,True,12.97,13.26,True,11916.0,11916.0,True,23.59,5.26,True,0.85,0.56,True,3292179049.0,,,False,4.62,6.01,6,1
019540,일지테크,6,True,False,3.91,6.12,True,73.88,76.76,True,13514.0,13514.0,False,3.22,5.63,True,1.32,1.19,True,46527711827.0,,,True,0.66,0.66,4,2
110020,전진바이오팜,6,True,True,22.75,-36.16,True,6.35,64.97,False,9059.0,7484.0,True,6.22,-7.64,True,1.02,0.89,False,-300602769.0,,,True,0.69,0.6,5,1
082210,옵트론텍,6,True,True,11.69,0.79,True,64.3,91.83,False,33192.0,24484.0,False,-2.02,4.33,True,0.97,0.97,True,13691183292.0,,,True,0.49,0.35,4,2
014130,한익스프레스,6,True,True,4.3,-3.65,True,74.34,80.21,True,12000.0,12000.0,False,0.48,1.3,True,1.78,1.56,True,30396896590.0,,,False,0.58,0.81,5,1
079960,동양이엔피,6,True,False,7.41,16.38,True,17.89,23.12,True,7860.0,7860.0,True,9.45,9.41,False,1.13,1.29,True,76756725574.0,,,True,3.35,2.7,4,2
331920,셀레믹스,6,True,True,41.84,-21.55,True,7.48,12.15,True,8164.0,8164.0,True,-28.36,-87.88,False,0.23,0.36,False,-4533540862.0,,,True,7.71,5.9,5,1
171090,선익시스템,6,True,True,12.29,-9.28,True,78.58,84.68,False,9494.0,9377.0,True,15.8,7.0,True,0.68,0.37,True,5575203307.0,,,False,1.59,1.89,5,1
378850,화승알앤에이,6,True,True,6.9,5.62,True,67.97,73.89,True,18994.0,18994.0,False,4.43,4.67,False,1.5,1.58,True,51908506239.0,,,True,0.75,0.61,4,2
020710,시공테크,6,True,True,13.42,4.71,False,30.68,25.17,True,20048.0,20048.0,True,4.35,4.15,False,0.65,0.76,True,7278006391.0,,,True,1.89,1.64,4,2
096760,JW홀딩스,6,True,True,9.82,2.64,True,58.31,70.35,True,73925.0,73925.0,True,16.5,15.61,False,0.71,0.79,True,112317545771.0,,,False,0.68,0.71,5,1
126880,제이엔케이글로벌,6,True,True,24.3,1.3,True,43.26,61.02,True,23205.0,23205.0,True,2.6,2.46,False,0.37,0.57,True,54996047806.0,,,False,1.29,1.53,5,1
000230,일동홀딩스,6,True,True,6.51,-13.55,True,70.28,80.63,True,11540.0,11540.0,True,-0.36,-12.47,True,0.77,0.73,False,-57770878108.0,,,False,0.51,0.68,6,0
012030,DB,6,True,True,10.67,2.31,True,54.68,55.06,True,201174.0,201174.0,False,5.04,8.07,True,0.68,0.52,True,52445093162.0,,,False,0.72,1.04,5,1
