code,name,score,net_income_positive,roa_increasing,roa_current,roa_previous,debt_ratio_decreasing,debt_ratio_current,debt_ratio_previous,shares_not_increasing,shares_current,shares_previous,operating_margin_increasing,operating_margin_current,operating_margin_previous,asset_turnover_increasing,asset_turnover_current,asset_turnover_previous,lite_score,additional_score
198080,캐프,6,True,True,8.6,1.64,True,47.82,53.74,True,21535.0,21535.0,True,6.35,2.5,True,1.42,1.17,6,0
356890,싸이버원,6,True,True,22.2,5.39,True,12.97,13.26,True,11916.0,11916.0,True,23.59,5.26,True,0.85,0.56,6,0
113810,디젠스,6,True,True,7.54,4.94,True,62.81,70.84,True,32628.0,32628.0,True,6.15,4.31,True,1.5,1.42,6,0
126880,제이엔케이글로벌,5,True,True,24.3,1.3,True,43.26,61.02,True,23205.0,23205.0,True,2.6,2.46,False,0.37,0.57,5,0
171090,선익시스템,5,True,True,12.29,-9.28,True,78.58,84.68,False,9494.0,9377.0,True,15.8,7.0,True,0.68,0.37,5,0
110020,전진바이오팜,5,True,True,22.75,-36.16,True,6.35,64.97,False,9059.0,7484.0,True,6.22,-7.64,True,1.02,0.89,5,0
208890,미래엔에듀파트너,5,True,True,8.7,-2.53,True,57.61,60.76,True,4006.0,4006.0,True,4.17,1.51,False,2.09,2.52,5,0
227840,현대코퍼레이션홀딩스,5,True,True,11.25,8.37,True,19.06,21.13,True,9101.0,9101.0,False,9.04,9.93,True,0.57,0.55,5,0
331920,셀레믹스,5,True,True,41.84,-21.55,True,7.48,12.15,True,8164.0,8164.0,True,-28.36,-87.88,False,0.23,0.36,5,0
402340,SK스퀘어,5,True,True,22.0,16.65,True,8.65,10.65,True,134750.0,138981.0,True,158.43,63.74,False,0.15,0.28,5,0
178780,일월지엠엘,5,True,True,16.23,-17.23,True,27.49,65.01,False,17349.0,13964.0,True,10.33,-1.4,True,0.98,0.75,5,0
215200,메가스터디교육,5,True,True,10.61,5.72,True,42.12,46.86,True,11462.0,11694.0,True,14.3,13.12,False,0.94,1.07,5,0
265560,영화테크,5,True,True,13.07,7.06,False,30.53,27.55,True,10690.0,10690.0,True,16.24,7.7,True,0.89,0.75,5,0
128540,에코캡,5,True,True,10.62,1.32,True,43.04,43.32,True,26690.0,26690.0,True,14.15,2.94,False,0.72,0.86,5,0
215090,솔디펜스,5,True,True,22.87,-38.5,True,14.97,38.24,False,19930.0,16059.0,True,13.76,-14.72,True,0.45,0.44,5,0
332370,아이디피,5,True,True,16.84,10.53,False,8.35,4.56,True,13274.0,13274.0,True,23.87,15.11,True,0.68,0.64,5,0
224110,에이텍모빌리티,5,True,True,13.34,6.25,True,33.24,44.17,True,5340.0,5340.0,False,7.58,8.57,True,0.71,0.5,5,0
372170,윤성에프앤씨,5,True,True,12.33,7.08,True,34.43,53.4,True,7979.0,7979.0,True,11.76,8.47,False,0.9,0.9,5,0
123410,코리아에프티,5,True,True,8.54,7.59,True,49.13,52.75,True,27841.0,27841.0,True,6.23,5.1,False,1.53,1.58,5,0
212560,네오오토,4,True,True,8.16,6.75,False,42.81,38.82,True,11812.0,11812.0,True,5.76,5.25,False,1.01,1.12,4,0
378850,화승알앤에이,4,True,True,6.9,5.62,True,67.97,73.89,True,18994.0,18994.0,False,4.43,4.67,False,1.5,1.58,4,0
277880,티에스아이,4,True,True,8.0,-1.43,True,65.75,71.64,False,20161.0,20156.0,True,5.74,0.77,False,0.74,0.76,4,0
101160,월덱스,4,True,False,16.59,17.18,True,21.52,23.65,True,16511.0,16511.0,True,22.91,22.49,False,0.78,0.92,4,0
234080,JW생명과학,4,True,True,13.53,10.99,False,38.4,37.69,True,15835.0,15835.0,True,16.13,14.93,False,0.68,0.81,4,0
465770,STX그린로지스,4,True,True,10.71,1.89,False,68.45,58.86,True,7171.0,7171.0,True,10.21,6.36,False,0.29,0.38,4,0
950170,JTC,4,True,False,15.0,21.54,True,40.87,48.88,False,51746.0,50289.0,True,15.74,6.71,True,1.01,0.86,4,0
200880,서연이화,3,True,False,5.22,6.96,True,60.68,60.74,True,27028.0,27028.0,False,3.82,5.4,False,1.37,1.52,3,0
272450,진에어,3,True,False,7.8,14.06,True,81.16,84.98,True,52200.0,52200.0,False,11.16,14.27,False,1.19,1.34,3,0
244880,나눔테크,3,True,False,11.63,15.61,True,7.36,10.97,True,5020.0,5020.0,False,17.39,22.73,False,0.62,0.74,3,0
194370,제이에스코퍼레이션,3,True,False,4.47,5.58,True,69.5,72.28,False,27359.0,26671.0,False,10.43,10.85,True,0.68,0.61,3,0
