code,name,score,sector,sector_relative_strength,lite_adjusted_score,net_income_positive,roa_increasing,roa_current,roa_previous,debt_ratio_decreasing,debt_ratio_current,debt_ratio_previous,shares_not_increasing,shares_current,shares_previous,operating_margin_increasing,operating_margin_current,operating_margin_previous,asset_turnover_increasing,asset_turnover_current,asset_turnover_previous,operating_cf_positive,operating_cf,accrual,net_income,current_ratio_increasing,current_ratio_current,current_ratio_previous,lite_score,additional_score
005610,SPC삼립,9,UNKNOWN,0.25,6.25,True,True,6.97,3.88,True,61.33,67.61,True,8629.0,8629.0,True,2.77,2.67,True,2.76,2.65,True,123035978680.0,True,50228465295.0,True,0.86,0.83,6,3
086980,쇼박스,8,UNKNOWN,0.75,6.75,True,True,17.79,-22.94,True,14.22,20.51,True,62638.0,62638.0,True,26.32,-70.4,True,0.6,0.3,True,17252401061.0,True,-30299585774.0,False,2.94,3.97,6,2
000660,SK하이닉스,8,UNKNOWN,0.75,6.75,True,True,24.78,16.52,True,28.55,38.33,True,728002.0,728002.0,True,45.51,35.45,True,0.6,0.55,True,4278191000000.0,,,True,1.45,1.45,6,2
035890,서희건설,8,UNKNOWN,0.75,6.75,True,True,10.34,8.23,True,36.79,45.18,True,229808.0,229808.0,True,15.99,15.83,True,0.96,0.94,True,80678660787.0,,,True,1.68,1.44,6,2
402340,SK스퀘어,8,UNKNOWN,0.75,5.75,True,True,22.0,16.65,True,8.65,10.65,True,134750.0,138981.0,True,158.43,63.74,False,0.15,0.28,True,265749000000.0,True,-1314834000000.0,True,1.66,1.57,5,3
018500,동원금속,8,UNKNOWN,0.5,6.5,True,True,4.11,3.82,True,74.23,77.76,True,46755.0,46755.0,True,6.71,6.28,True,1.21,1.19,True,59870151181.0,,,True,0.61,0.52,6,2
008500,일정실업,8,UNKNOWN,0.5,6.5,True,True,10.27,-7.42,True,81.57,90.32,True,1200.0,1200.0,True,7.59,-2.17,True,1.31,1.04,True,95944279.0,,,True,0.54,0.49,6,2
198080,캐프,8,UNKNOWN,0.5,6.5,True,True,8.6,1.64,True,47.82,53.74,True,21535.0,21535.0,True,6.35,2.5,True,1.42,1.17,True,8890197611.0,,,True,1.37,1.31,6,2
049520,유아이엘,7,UNKNOWN,0.75,6.75,True,True,10.61,4.96,True,29.34,29.95,True,32247.0,32247.0,True,4.97,2.56,True,1.51,1.46,True,22109645010.0,,,False,2.41,2.56,6,1
356890,싸이버원,7,UNKNOWN,0.75,6.75,True,True,22.2,5.39,True,12.97,13.26,True,11916.0,11916.0,True,23.59,5.26,True,0.85,0.56,True,3292179049.0,,,False,4.62,6.01,6,1
