code,name,score,sector,roa_current,operating_margin_current,asset_turnover_current,debt_ratio_current,roa_current_beats_sector,operating_margin_current_beats_sector,asset_turnover_current_beats_sector,debt_ratio_current_beats_sector,sector_relative_strength,adjusted_score,net_income_positive,roa_increasing,roa_previous,debt_ratio_decreasing,debt_ratio_previous,shares_not_increasing,shares_current,shares_previous,operating_margin_increasing,operating_margin_previous,asset_turnover_increasing,asset_turnover_previous
356890,싸이버원,6,UNKNOWN,22.2,23.59,0.85,12.97,True,True,False,True,0.75,6.75,True,True,5.39,True,13.26,True,11916.0,11916.0,True,5.26,True,0.56
035890,서희건설,6,UNKNOWN,10.34,15.99,0.96,36.79,True,True,False,True,0.75,6.75,True,True,8.23,True,45.18,True,229808.0,229808.0,True,15.83,True,0.94
049520,유아이엘,6,UNKNOWN,10.61,4.97,1.51,29.34,True,False,True,True,0.75,6.75,True,True,4.96,True,29.95,True,32247.0,32247.0,True,2.56,True,1.46
000660,SK하이닉스,6,UNKNOWN,24.78,45.51,0.6,28.55,True,True,False,True,0.75,6.75,True,True,16.52,True,38.33,True,728002.0,728002.0,True,35.45,True,0.55
086980,쇼박스,6,UNKNOWN,17.79,26.32,0.6,14.22,True,True,False,True,0.75,6.75,True,True,-22.94,True,20.51,True,62638.0,62638.0,True,-70.4,True,0.3
039010,현대에이치티,6,UNKNOWN,9.96,6.57,1.21,28.53,False,True,True,True,0.75,6.75,True,True,-1.04,True,29.83,True,8625.0,8625.0,True,-0.61,True,1.05
008500,일정실업,6,UNKNOWN,10.27,7.59,1.31,81.57,False,True,True,False,0.5,6.5,True,True,-7.42,True,90.32,True,1200.0,1200.0,True,-2.17,True,1.04
198080,캐프,6,UNKNOWN,8.6,6.35,1.42,47.82,False,True,True,False,0.5,6.5,True,True,1.64,True,53.74,True,21535.0,21535.0,True,2.5,True,1.17
018500,동원금속,6,UNKNOWN,4.11,6.71,1.21,74.23,False,True,True,False,0.5,6.5,True,True,3.82,True,77.76,True,46755.0,46755.0,True,6.28,True,1.19
078350,한양디지텍,6,UNKNOWN,9.21,5.88,2.15,42.43,False,False,True,True,0.5,6.5,True,True,5.02,True,46.93,True,15244.0,15244.0,True,3.99,True,1.91
015760,한국전력,6,UNKNOWN,3.22,14.34,0.38,80.76,False,True,False,False,0.25,6.25,True,True,1.47,True,83.24,True,641964.0,641964.0,True,8.96,True,0.38
113810,디젠스,6,UNKNOWN,7.54,6.15,1.5,62.81,False,False,True,False,0.25,6.25,True,True,4.94,True,70.84,True,32628.0,32628.0,True,4.31,True,1.42
005610,SPC삼립,6,UNKNOWN,6.97,2.77,2.76,61.33,False,False,True,False,0.25,6.25,True,True,3.88,True,67.61,True,8629.0,8629.0,True,2.67,True,2.65
071320,지역난방공사,6,UNKNOWN,3.41,11.45,0.46,72.56,False,True,False,False,0.25,6.25,True,True,2.51,True,72.88,True,11579.0,11579.0,True,9.18,True,0.43
000230,일동홀딩스,6,UNKNOWN,6.51,-0.36,0.77,70.28,False,False,False,False,0.0,6.0,True,True,-13.55,True,80.63,True,11540.0,11540.0,True,-12.47,True,0.73
110020,전진바이오팜,5,UNKNOWN,22.75,6.22,1.02,6.35,True,True,True,True,1.0,6.0,True,True,-36.16,True,64.97,False,9059.0,7484.0,True,-7.64,True,0.89
178780,일월지엠엘,5,UNKNOWN,16.23,10.33,0.98,27.49,True,True,True,True,1.0,6.0,True,True,-17.23,True,65.01,False,17349.0,13964.0,True,-1.4,True,0.75
071200,인피니트헬스케어,5,UNKNOWN,19.19,13.68,0.44,22.2,True,True,False,True,0.75,5.75,True,True,11.15,True,23.38,True,24396.0,24396.0,True,7.46,False,0.51
128540,에코캡,5,UNKNOWN,10.62,14.15,0.72,43.04,True,True,False,True,0.75,5.75,True,True,1.32,True,43.32,True,26690.0,26690.0,True,2.94,False,0.86
402340,SK스퀘어,5,UNKNOWN,22.0,158.43,0.15,8.65,True,True,False,True,0.75,5.75,True,True,16.65,True,10.65,True,134750.0,138981.0,True,63.74,False,0.28
227840,현대코퍼레이션홀딩스,5,UNKNOWN,11.25,9.04,0.57,19.06,True,True,False,True,0.75,5.75,True,True,8.37,True,21.13,True,9101.0,9101.0,False,9.93,True,0.55
066620,국보디자인,5,UNKNOWN,9.53,9.89,0.99,34.47,False,True,True,True,0.75,5.75,True,True,8.18,True,37.6,True,7500.0,7500.0,True,8.07,False,1.19
215200,메가스터디교육,5,UNKNOWN,10.61,14.3,0.94,42.12,True,True,False,True,0.75,5.75,True,True,5.72,True,46.86,True,11462.0,11694.0,True,13.12,False,1.07
215090,솔디펜스,5,UNKNOWN,22.87,13.76,0.45,14.97,True,True,False,True,0.75,5.75,True,True,-38.5,True,38.24,False,19930.0,16059.0,True,-14.72,True,0.44
265560,영화테크,5,UNKNOWN,13.07,16.24,0.89,30.53,True,True,False,True,0.75,5.75,True,True,7.06,False,27.55,True,10690.0,10690.0,True,7.7,True,0.75
372170,윤성에프앤씨,5,UNKNOWN,12.33,11.76,0.9,34.43,True,True,False,True,0.75,5.75,True,True,7.08,True,53.4,True,7979.0,7979.0,True,8.47,False,0.9
224110,에이텍모빌리티,5,UNKNOWN,13.34,7.58,0.71,33.24,True,True,False,True,0.75,5.75,True,True,6.25,True,44.17,True,5340.0,5340.0,False,8.57,True,0.5
332370,아이디피,5,UNKNOWN,16.84,23.87,0.68,8.35,True,True,False,True,0.75,5.75,True,True,10.53,False,4.56,True,13274.0,13274.0,True,15.11,True,0.64
126880,제이엔케이글로벌,5,UNKNOWN,24.3,2.6,0.37,43.26,True,False,False,True,0.5,5.5,True,True,1.3,True,61.02,True,23205.0,23205.0,True,2.46,False,0.57
331920,셀레믹스,5,UNKNOWN,41.84,-28.36,0.23,7.48,True,False,False,True,0.5,5.5,True,True,-21.55,True,12.15,True,8164.0,8164.0,True,-87.88,False,0.36
001420,태원물산,5,UNKNOWN,32.71,-7.76,0.22,15.51,True,False,False,True,0.5,5.5,True,True,-0.27,True,22.46,True,7600.0,7600.0,True,-8.7,False,0.25
171090,선익시스템,5,UNKNOWN,14.22,15.87,0.7,76.08,True,True,False,False,0.5,5.5,True,True,-9.28,True,84.68,False,9494.0,9377.0,True,7.0,True,0.37
123410,코리아에프티,5,UNKNOWN,8.54,6.23,1.53,49.13,False,True,True,False,0.5,5.5,True,True,7.59,True,52.75,True,27841.0,27841.0,True,5.1,False,1.58
037460,삼지전자,5,UNKNOWN,7.83,3.44,2.8,46.73,False,False,True,True,0.5,5.5,True,True,5.05,False,46.18,True,16319.0,16319.0,True,3.1,True,2.49
037440,희림,5,UNKNOWN,6.43,6.35,1.16,60.59,False,True,True,False,0.5,5.5,True,True,3.31,True,62.12,True,13922.0,13922.0,True,3.24,False,1.18
024800,유성티엔에스,5,UNKNOWN,11.56,3.2,0.25,19.16,True,False,False,True,0.5,5.5,True,True,10.99,True,26.45,True,37052.0,37052.0,True,0.88,False,0.38
021050,서원,5,UNKNOWN,4.12,2.24,1.25,64.68,False,False,True,False,0.25,5.25,True,True,-4.13,False,49.8,True,47475.0,47475.0,True,0.21,True,0.94
096760,JW홀딩스,5,UNKNOWN,9.82,16.5,0.71,58.31,False,True,False,False,0.25,5.25,True,True,2.64,True,70.35,True,73925.0,73925.0,True,15.61,False,0.79
012030,DB,5,UNKNOWN,10.67,5.04,0.68,54.68,True,False,False,False,0.25,5.25,True,True,2.31,True,55.06,True,201174.0,201174.0,False,8.07,True,0.52
014130,한익스프레스,5,UNKNOWN,4.3,0.48,1.78,74.34,False,False,True,False,0.25,5.25,True,True,-3.65,True,80.21,True,12000.0,12000.0,False,1.3,True,1.56
208890,미래엔에듀파트너,5,UNKNOWN,8.7,4.17,2.09,57.61,False,False,True,False,0.25,5.25,True,True,-2.53,True,60.76,True,4006.0,4006.0,True,1.51,False,2.52
024900,디와이덕양,5,UNKNOWN,2.99,0.44,3.37,81.79,False,False,True,False,0.25,5.25,True,True,0.78,True,84.14,True,32565.0,32565.0,False,1.48,True,3.27
