Code,Name,F-Score,Timing_Score,Combined_Score,Rating,Recommendation,Current_Price,Change_30D,Signals,ROA
139480,이마트,9,5.0,115.0,B (우수),매수 고려 ⭐⭐,79600,3.51,"단기 정배열 (5>20), RSI 66.3 (상승 모멘텀), MACD > Signal & 양전환 ⭐⭐",0.83
298040,효성중공업,8,6.0,110.0,B (우수),매수 고려 ⭐⭐,2220000,64.08,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 68.4 (상승 모멘텀)",7.14
307950,현대오토에버,8,5.5,107.5,B (우수),매수 고려 ⭐⭐,191900,22.54,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 58.9 (중립 구간)",5.71
198080,캐프,8,4.0,100.0,C (보통),관망 ⭐,2360,5.59,"단기 정배열 (5>20), RSI 62.6 (상승 모멘텀), MACD > Signal & 양전환 ⭐⭐",8.6
339770,교촌에프앤비,8,4.0,100.0,C (보통),관망 ⭐,4350,-3.87,"단기 정배열 (5>20), RSI 55.5 (중립 구간), MACD > Signal & 양전환 ⭐⭐",7.07
101490,에스앤에스텍,8,4.0,100.0,C (보통),관망 ⭐,53500,4.09,"20일선 > 60일선 (상승 추세), RSI 44.2 (중립 구간), MACD 0선 위 (상승 추세)",12.9
217190,제너셈,7,6.0,100.0,B (우수),매수 고려 ⭐⭐,9440,2.05,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 57.6 (중립 구간)",7.06
204610,티쓰리,8,4.0,100.0,C (보통),관망 ⭐,1967,-2.86,"RSI 50.1 (중립 구간), MACD > Signal & 양전환 ⭐⭐, 거래량 정상 (0.8배)",10.28
115570,스타플렉스,8,3.5,97.5,C (보통),관망 ⭐,2820,-3.75,"RSI 49.9 (중립 구간), MACD > Signal & 양전환 ⭐⭐, 볼린저 중심선 위",4.88
181710,NHN,7,5.5,97.5,B (우수),매수 고려 ⭐⭐,30650,14.79,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 62.5 (상승 모멘텀)",1.22
